status	source_video	result_video	artifacts_dir	data_dir	track_id	frame_count	kept	avg_bbox_area	avg_confidence	first_frame_idx	last_frame_idx	quality_pass	quality_note	error
skipped	IMG_9879.MOV	outputs/IMG_9879_result.mp4	artifacts/IMG_9879	data/IMG_9879	0001	149	1	732038.63	0.9224	1	149	1	ok	
skipped	IMG_9879.MOV	outputs/IMG_9879_result.mp4	artifacts/IMG_9879	data/IMG_9879	0002	61	1	107523.42	0.6875	10	74	1	ok	
success	IMG_9880.MOV	outputs/IMG_9880_result.mp4	artifacts/IMG_9880	data/IMG_9880	0001	141	1	156870.52	0.8957	1	141	1	ok	
success	IMG_9880.MOV	outputs/IMG_9880_result.mp4	artifacts/IMG_9880	data/IMG_9880	0002	139	1	104171.17	0.6460	1	141	1	ok	
success	IMG_9880.MOV	outputs/IMG_9880_result.mp4	artifacts/IMG_9880	data/IMG_9880	0003	141	1	56833.99	0.8500	1	141	1	ok	
success	IMG_9880.MOV	outputs/IMG_9880_result.mp4	artifacts/IMG_9880	data/IMG_9880	0004	2	0	8048.62	0.3805	30	31	0	too_short	
success	IMG_9880.MOV	outputs/IMG_9880_result.mp4	artifacts/IMG_9880	data/IMG_9880	0005	2	0	5818.10	0.3807	126	127	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0001	149	1	116337.80	0.8780	1	149	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0002	164	1	127013.46	0.8720	1	164	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0003	172	1	46712.90	0.7262	1	172	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0004	180	1	22420.28	0.6928	1	180	1	ok	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0005	1	0	7318.47	0.3988	137	137	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0006	7	0	9407.72	0.4079	156	170	0	too_short	
skipped	IMG_9881.MOV	outputs/IMG_9881_result.mp4	artifacts/IMG_9881	data/IMG_9881	0007	2	0	7827.93	0.3840	157	161	0	too_short	
